Config,Regime,Mu_Factor,Mu_dim,Mu,Baseline_Mu_dim,Mu_Eff_Simulation,Mu_Eff_Analytical,Mu_Eff_Enhanced,Mu_Eff_Opening,Ratio_Sim,Ratio_Analytical,Ratio_Enhanced,Ratio_Opening,Relative_Error_Analytical,Relative_Error_Enhanced,Relative_Error_Opening,Total_Mass,Mouth_Flux_Total
small_uptake_mu_0.1x,small_uptake,0.1,2.9999999999999997e-05,0.1,0.0003,0.1018504242793516,0.10326223165338422,0.09973606797749979,0.21873687252941962,1.018504242793516,1.0326223165338422,0.9973606797749979,2.187368725294196,1.3861575776654185,2.0759425567562095,114.76284863524589,2.912975837138352,0.010097625838209164
small_uptake_mu_0.2x,small_uptake,0.25,7.5e-05,0.25,0.0003,0.252311224246497,0.25815557913346054,0.24865290337845458,0.5268967543277514,1.009244896985988,1.0326223165338422,0.9946116135138183,2.1075870173110056,2.3163277434117937,1.4499239496647955,108.8281073904966,2.0317484747576637,0.009915562638069987
small_uptake_mu_0.5x,small_uptake,0.5,0.00015,0.5,0.0003,0.5012677875426594,0.5163111582669211,0.49583333333333335,0.9948148050890406,1.0025355750853189,1.0326223165338422,0.9916666666666667,1.9896296101780813,3.0010647199190736,1.0841419186273964,98.45975141667742,1.5151011476236111,0.007082985334563578
small_uptake_mu_0.8x,small_uptake,0.75,0.000225,0.75,0.0003,0.7495932903441287,0.7744667374003816,0.7423081467116173,1.4153105552138097,0.9994577204588383,1.0326223165338422,0.9897441956154897,1.8870807402850795,3.3182590314854417,0.9718795147121595,88.81046207925083,1.2836655800775199,0.005088128493777929
small_uptake_mu_1.0x,small_uptake,1.0,0.0003,1.0,0.0003,0.9976770752935435,1.0326223165338422,0.9883630620956212,1.7969833892644103,0.9976770752935435,1.0326223165338422,0.9883630620956212,1.7969833892644103,3.5026605407382743,0.9335699324535367,80.11673654380493,1.1481409313834474,0.0038142042683517656
small_uptake_mu_1.2x,small_uptake,1.25,0.00037499999999999995,1.25,0.0003,1.245588546190287,1.2907778956673028,1.2341364363724165,2.1463738143226,0.9964708369522295,1.0326223165338422,0.9873091490979332,1.7170990514580802,3.627951590854818,0.919413545740878,72.31804361780809,1.0577033299279417,0.002975715206816115
small_uptake_mu_1.5x,small_uptake,1.5,0.00045,1.5,0.0003,1.493337340048447,1.5489334748007633,1.4797061800402922,2.4685512632853626,0.9955582266989648,1.0326223165338422,0.9864707866935282,1.6457008421902417,3.722945463247609,0.9127984443027904,65.30432857222182,0.992458024088214,0.0024006279100489856
small_uptake_mu_2.0x,small_uptake,2.0,0.0006,2.0,0.0003,1.988339979709579,2.0652446330676844,1.9704124145231932,3.046447779252058,0.9941699898547895,1.0326223165338422,0.9852062072615966,1.523223889626029,3.867781875478765,0.9016347993467635,53.21563768470965,0.9037558897050789,0.001689160068401555
small_uptake_mu_2.5x,small_uptake,2.5,0.0007499999999999999,2.5,0.0003,2.4826723717390276,2.5815557913346057,2.4607119172721315,3.5541457107315186,0.993068948695611,1.0326223165338422,0.9842847669088526,1.4216582842926075,3.9829427644660838,0.8845490334076398,43.158064317683625,0.8456942697728502,0.0012832019752950078
small_uptake_mu_3.0x,small_uptake,3.0,0.0009,3.0,0.0003,2.976336376829226,3.0978669496015265,2.9507247877713763,4.007359638280422,0.9921121256097419,1.0326223165338422,0.9835749292571254,1.3357865460934741,4.083227074682013,0.8605072080305117,34.64068340788733,0.8044383280101152,0.0010291939813226114
moderate_uptake_mu_5.0x,moderate_uptake,5.0,0.0014999999999999998,5.0,0.0003,4.944576899283427,5.163111582669211,4.909020690871989,5.45498159027916,0.9889153798566854,1.0326223165338422,0.9818041381743978,1.090996318055832,4.419684188094126,0.7190950638585653,10.322514977362397,0.7139225124154476,0.0005823093929022738
moderate_uptake_mu_7.5x,moderate_uptake,7.5,0.00225,7.5,0.0003,7.3915243935090515,7.744667374003816,7.354690796284726,6.776082085783092,0.9855365858012068,1.0326223165338422,0.9806254395046301,0.9034776114377456,4.777674559322039,0.4983220681334894,8.32632451658303,0.6632735985529042,0.00039944785409301163
moderate_uptake_mu_10.0x,moderate_uptake,10.0,0.0029999999999999996,10.0,0.0003,9.824942578089304,10.326223165338423,9.799029033784546,7.791283486950021,0.9824942578089304,1.0326223165338422,0.9799029033784545,0.779128348695002,5.1021223102822875,0.2637526285654708,20.69894124037494,0.6360931379728886,0.00032013864343524847
moderate_uptake_mu_12.5x,moderate_uptake,12.5,0.00375,12.5,0.0003,12.245816405551317,12.907778956673027,12.242528181645351,8.612941807504924,0.9796653124441054,1.0326223165338422,0.9794022545316281,0.689035344600394,5.405622044289572,0.02685181450601083,29.66625072379433,0.6190481050810516,0.0002766549496070293
moderate_uptake_mu_15.0x,moderate_uptake,15.0,0.0045,15.0,0.0003,14.65486747471439,15.489334748007632,14.685436722301903,9.299470162338594,0.9769911649809593,1.0326223165338422,0.9790291148201269,0.6199646774892396,5.694130463704554,0.20859450036144916,36.54347145490081,0.6073293403525513,0.00024939882377494747
high_uptake_mu_50.0x,high_uptake,50.0,0.015,50.0,0.0003,47.34250335893123,51.63111582669211,48.86135885079684,13.679256371218639,0.9468500671786246,1.0326223165338422,0.9772271770159368,0.2735851274243728,9.058693908191538,3.208228091257185,71.10576036187148,0.5634794012431621,0.00016467064000959516
high_uptake_mu_75.0x,high_uptake,75.0,0.0225,75.0,0.0003,69.69003072886508,77.44667374003816,73.26156694513672,14.88341777709768,0.9292004097182011,1.0326223165338422,0.9768208926018229,0.1984455703613024,11.13020460752981,5.124888278736741,78.64340477190652,0.5567494196496726,0.00015379230408588433
high_uptake_mu_100.0x,high_uptake,100.0,0.03,100.0,0.0003,91.32303413297073,103.26223165338422,97.65779860077444,15.611373350404412,0.9132303413297074,1.0326223165338422,0.9765779860077444,0.15611373350404412,13.073588316206667,6.936655716650836,82.90532777560425,0.5533255532500806,0.00014843274656446982
high_uptake_mu_125.0x,high_uptake,125.0,0.0375,125.0,0.0003,112.30666206920657,129.07778956673027,122.05149452960153,16.101819317970246,0.8984532965536526,1.0326223165338422,0.9764119562368122,0.12881455454376198,14.933332705756014,8.676985212497828,85.6626320992001,0.5512503020590858,0.00014523339097891204
high_uptake_mu_150.0x,high_uptake,150.0,0.045,150.0,0.0003,132.68973588897163,154.89334748007633,146.44339148367354,16.455779839934294,0.8845982392598108,1.0326223165338422,0.9762892765578236,0.10970519893289529,16.73348088482414,10.365274678224024,87.59830236326366,0.5498574190245956,0.0001431032587279787
